EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143198071,AUS / WPrk (AUS) 28th Apr,R6 520m Heat,28-04-2018 12:20,17006055,5. Blazin Audrey,0,53.774775343164805,1,1,1,1001,1,1001,0,0,0
143214972,TRP / PBarr 28th Apr,A5 480m,28-04-2018 11:07,12555598,4. Cefn Carys,1,5.062001975609528,1,3.92926097321553779273594166316084700603,1,1001,1,1001,713.1,0,0
143218101,RPGTV / Crayfd 28th Apr,S3 540m,28-04-2018 22:35,12606589,3. Rathdown Ruby,0,6.4,1,1,1,1001,1,1001,0,0,0
143198047,AUS / Gard (AUS) 28th Apr,R6 515m Heat,28-04-2018 09:32,17034011,5. Man Unkind,0,4.131643934,1,3.70911436608788437287806770782811135901,1,1001,1,1001,1030.9,0,0
143198077,AUS / WPrk (AUS) 28th Apr,R9 520m Gr5,28-04-2018 13:27,13342531,3. Skid Oscar,0,28,1,1,1,1001,1,1001,0,0,0
143198063,AUS / WPrk (AUS) 28th Apr,R2 520m Gr5,28-04-2018 10:50,17344409,2. Unchangeable,0,11,1,9.3312431971984288486110453835596990204,1,1001,1,1001,422.62,0,0
143198051,AUS / Gard (AUS) 28th Apr,R8 515m Heat,28-04-2018 10:16,18454990,3. Winsome Fernando,0,3.2279244897638275,1,2.72474532210815233168826370378190071521,1,1001,1,1001,1515.64,0,0
143217733,SIS / Monm 28th Apr,A1 480m,28-04-2018 22:00,16650046,1. Salems Phoenix,1,5.7,1,1,1,1001,1,1001,0,0,0
143219031,SIS / Crayfd 28th Apr,S5 540m,28-04-2018 12:54,11906744,3. Olwinn Prince,1,6.2,1,1,1,1001,1,1001,0,0,0
143217534,TRP / Towc 28th Apr,A7 480m,28-04-2018 12:17,13338169,1. Mystery,0,5.195141009,1,1,1,1001,1,1001,0,0,0
143216494,SIS / Romfd 28th Apr,S2 575m,28-04-2018 19:59,16961021,6. Racy Lucy,0,3.752373232870741,1,1,1,1001,1,1001,0,0,0
143198071,AUS / WPrk (AUS) 28th Apr,R6 520m Heat,28-04-2018 12:20,14210842,1. Miss Splendamiro,1,1.3311786471812592,1,1,1,1001,1,1001,0,0,0
143217942,RPGTV / Sheff 28th Apr,A2 500m,28-04-2018 20:08,11601195,2. Bogcross Mikey,0,19.402350346,1,1,1,1001,1,1001,0,0,0
143216200,SIS / Donc 28th Apr,A3 483m,28-04-2018 15:57,12028990,5. Bellagio Blue,0,6,1,1,1,1001,1,1001,0,0,0
